Solar,Ultra,Lidar,Temp
178.00,20.54,231.00,175
178.00,20.54,232.00,174
178.00,20.54,233.00,174
178.00,20.54,231.00,174
178.00,20.54,231.00,174
179.00,20.54,233.00,174
181.00,20.54,233.00,175
180.00,20.54,232.00,175
181.00,20.54,232.00,174
181.00,20.54,232.00,173
181.00,20.54,231.00,174
182.00,20.54,232.00,175
182.00,20.54,231.00,175
181.00,20.54,232.00,174
181.00,20.54,232.00,174
180.00,20.54,232.00,175
180.00,20.54,231.00,175
181.00,20.54,232.00,175
181.00,20.54,233.00,174
181.00,20.50,232.00,174
180.00,20.50,232.00,175
181.00,20.50,233.00,175
180.00,20.50,231.00,174
181.00,20.50,232.00,174
181.00,20.45,233.00,175
181.00,20.50,230.00,175
181.00,20.45,232.00,175
181.00,20.41,231.00,174
180.00,20.41,233.00,175
181.00,20.41,231.00,175
182.00,20.36,232.00,175
180.00,20.36,231.00,174
180.00,20.36,233.00,175
180.00,20.41,232.00,175
181.00,20.41,231.00,175
182.00,20.41,232.00,174
181.00,20.36,231.00,175
181.00,20.41,231.00,175
180.00,20.41,232.00,175
181.00,20.36,233.00,174
180.00,20.36,231.00,175
181.00,20.41,231.00,175
180.00,20.41,232.00,174
181.00,20.41,232.00,175
181.00,20.41,232.00,175
181.00,20.41,232.00,175
182.00,20.41,232.00,174
181.00,20.41,232.00,174
181.00,20.41,231.00,175
181.00,20.41,232.00,175
181.00,20.41,231.00,175
180.00,20.41,232.00,174
181.00,20.41,231.00,175
180.00,20.41,231.00,175
181.00,20.41,231.00,175
181.00,20.41,231.00,175
181.00,20.41,231.00,175
181.00,20.41,233.00,174
181.00,20.41,232.00,175
181.00,20.45,231.00,175
181.00,20.41,231.00,175
181.00,20.41,233.00,174
182.00,20.41,231.00,175
181.00,20.41,232.00,175
180.00,20.41,233.00,175
180.00,20.41,231.00,175
181.00,20.41,231.00,174
180.00,20.41,232.00,174
181.00,20.41,232.00,175
181.00,20.41,231.00,175
181.00,20.41,232.00,175
181.00,20.36,232.00,175
181.00,20.36,231.00,174
181.00,20.36,232.00,175
181.00,20.36,233.00,175
181.00,20.36,232.00,175
180.00,20.36,232.00,175
181.00,20.36,232.00,175
180.00,20.36,231.00,175
181.00,20.36,233.00,175
181.00,20.36,233.00,175
182.00,20.36,231.00,174
182.00,20.36,232.00,175
181.00,20.41,231.00,175
182.00,20.36,231.00,175
182.00,20.41,232.00,174
182.00,20.36,232.00,175
182.00,20.36,231.00,175
182.00,20.36,231.00,175
182.00,20.36,233.00,175
182.00,20.36,232.00,175
181.00,20.36,233.00,175
181.00,20.36,232.00,175
181.00,20.41,232.00,175
181.00,20.36,232.00,175
182.00,20.41,232.00,175
182.00,20.36,232.00,175
182.00,20.36,232.00,175
182.00,20.36,232.00,175
183.00,20.36,231.00,175
181.00,20.36,231.00,175
181.00,20.36,232.00,175
183.00,20.36,231.00,176
181.00,20.36,231.00,175
182.00,20.36,232.00,175
181.00,20.36,232.00,175
182.00,20.36,231.00,175
182.00,20.36,232.00,175
182.00,20.36,233.00,175
182.00,20.41,233.00,175
181.00,20.41,232.00,175
181.00,20.41,232.00,176
182.00,20.36,232.00,175
182.00,20.41,232.00,174
182.00,20.41,232.00,175
181.00,20.41,232.00,175
182.00,20.41,232.00,175
182.00,20.41,231.00,175
182.00,20.45,233.00,175
182.00,20.45,232.00,175
181.00,20.45,232.00,175
182.00,20.45,233.00,175
182.00,20.45,233.00,175
182.00,20.45,233.00,175
182.00,20.50,231.00,175
181.00,20.50,232.00,175
182.00,20.45,231.00,175
182.00,20.50,231.00,175
181.00,20.50,233.00,175
182.00,20.50,232.00,175
181.00,20.50,232.00,175
182.00,20.50,231.00,175
182.00,20.50,231.00,176
180.00,20.50,232.00,175
182.00,20.50,233.00,175
181.00,20.50,232.00,175
181.00,20.50,232.00,176
182.00,20.50,232.00,175
182.00,20.50,232.00,175
182.00,20.54,232.00,175
181.00,20.50,234.00,175
182.00,20.50,232.00,175
181.00,20.54,232.00,175
182.00,20.50,233.00,175
182.00,20.50,232.00,175
181.00,20.50,231.00,175
182.00,20.50,232.00,175
181.00,20.50,232.00,175
182.00,20.50,231.00,175
182.00,20.50,231.00,175
180.00,20.50,232.00,175
181.00,20.50,232.00,175
181.00,20.50,232.00,175
182.00,20.50,232.00,175
182.00,20.45,232.00,175
183.00,20.45,231.00,174
182.00,20.50,232.00,175
183.00,20.50,233.00,175
183.00,20.50,232.00,175
182.00,20.45,232.00,175
183.00,20.45,232.00,175
183.00,20.45,232.00,176
182.00,20.45,232.00,175
183.00,20.41,232.00,174
183.00,20.41,233.00,175
182.00,20.41,231.00,175
182.00,20.41,232.00,175
183.00,20.41,233.00,174
182.00,20.41,232.00,175
182.00,20.41,232.00,175
182.00,20.41,232.00,175
183.00,20.41,231.00,175
183.00,20.45,231.00,175
183.00,20.45,232.00,175
183.00,20.45,232.00,175
182.00,20.45,232.00,175
183.00,20.45,231.00,175
183.00,20.45,232.00,175
183.00,20.45,232.00,175
183.00,20.50,232.00,175
183.00,20.45,232.00,174
183.00,20.45,232.00,175
183.00,20.41,233.00,175
183.00,20.41,232.00,175
183.00,20.41,232.00,174
183.00,20.41,232.00,175
184.00,20.41,231.00,175
184.00,20.41,232.00,175
183.00,20.41,232.00,174
183.00,20.41,232.00,175
182.00,20.41,231.00,175
182.00,20.41,231.00,175
183.00,20.45,233.00,175
183.00,20.45,232.00,175
182.00,20.41,232.00,175
182.00,20.45,231.00,175
182.00,20.45,232.00,175
182.00,20.45,232.00,174
181.00,20.45,232.00,175
183.00,20.45,232.00,175
182.00,20.45,232.00,175
182.00,20.41,230.00,175
182.00,20.45,231.00,175
183.00,20.45,233.00,175
183.00,20.45,232.00,175
183.00,20.41,231.00,175
181.00,20.41,231.00,175
183.00,20.41,232.00,175
183.00,20.41,232.00,176
182.00,20.41,232.00,175
182.00,20.45,232.00,174
183.00,20.45,231.00,175
183.00,20.45,231.00,175
182.00,20.50,231.00,175
182.00,20.50,232.00,175
183.00,20.45,233.00,175
182.00,20.45,232.00,175
182.00,20.45,233.00,175
182.00,20.41,232.00,175
182.00,20.41,232.00,175
183.00,20.41,231.00,175
183.00,20.36,232.00,175
182.00,20.36,231.00,175
182.00,20.32,231.00,175
183.00,20.32,231.00,175
182.00,20.32,233.00,175
182.00,20.32,232.00,175
183.00,20.32,231.00,175
183.00,20.32,232.00,175
182.00,20.27,233.00,175
182.00,20.27,233.00,175
182.00,20.32,75.00,174
183.00,20.32,69.00,175
182.00,20.36,77.00,175
182.00,20.36,68.00,175
182.00,20.36,68.00,175
182.00,20.36,68.00,174
182.00,20.36,68.00,175
182.00,20.36,67.00,175
183.00,20.32,69.00,175
182.00,20.32,68.00,175
182.00,20.36,228.00,175
130.00,20.32,231.00,175
